,State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Agricultural_Workers,Workers,Housholds_with_Electric_Lighting,Households_with_Internet,Hindus,Muslims,Christians,Sikhs,Jains,Buddhists,Male_Workers,Female_Workers,Literate_rate,sex_rate
221,Kerala,Thrissur,10.458932647907687,76.12321940836945,594,3121200,1480763,1640437,2678548,1282261,1396287,73941,1095727,721625,56148,1823442,532839,757484,259,62,278,789511,306216,85.81789055491478,90.2663741429875
222,Kerala,Wayanad,11.715277464788736,76.07587007042254,590,817420,401684,415736,645585,328136,317449,101630,340077,149864,4712,404460,234185,174453,61,1797,312,228639,111438,78.97837097208289,96.61997036580907
223,Madhya Pradesh,Anuppur,23.18184220430107,81.86560000000007,461,749237,379114,370123,436595,254120,182475,130376,346471,81338,1290,686524,21473,2132,606,1653,86,207401,139070,58.27194866243926,102.42919245764246
224,Madhya Pradesh,Ashoknagar,24.63098846153845,77.82974493927134,459,845071,443837,401234,469109,290304,178805,122387,315270,84720,619,778214,40707,635,8009,15094,1352,231829,83441,55.51119373401762,110.6179934900831
225,Madhya Pradesh,Balaghat,21.80020720640569,80.42170053380796,457,1701698,842178,859520,1147623,626468,521155,459796,893014,277927,1712,1519384,38542,5295,1050,4778,72162,488610,404404,67.43987476038639,97.98236224869696
226,Madhya Pradesh,Barwani,21.702135714285724,74.91004719710673,441,1385881,699340,686541,549926,313642,236284,267196,653897,181139,1158,1318869,58222,2967,2361,2289,416,365928,287969,39.68060749804636,101.86427321893376
227,Madhya Pradesh,Betul,21.964626315789477,77.7873428189117,447,1575362,799236,776126,939769,529783,409986,358157,786980,230974,2109,1505745,37590,3271,1078,3759,9651,453887,333093,59.654162027521295,102.97760930570551
228,Madhya Pradesh,Bhind,26.35951126187245,78.7618324287653,420,1703005,926843,776162,1094917,676513,418404,158266,520768,107819,1166,1595400,66776,973,4047,19950,12215,455775,64993,64.29323460588783,119.4136017996243
229,Madhya Pradesh,Bhopal,23.480726143790854,77.39246623093679,444,2371061,1236130,1134931,1660690,920314,740376,105195,867457,452912,40788,1755861,525434,23432,10789,25950,21688,644960,222497,70.03995257819179,108.91675352950972
230,Madhya Pradesh,Burhanpur,21.364567254408065,76.24460478589425,467,757847,388504,369343,408679,233073,175606,156295,328339,112420,986,552526,180840,1199,1074,1884,19883,211925,116414,53.92632022030832,105.18786060653646
231,Madhya Pradesh,Chhatarpur,24.813637376460004,79.56449299191374,425,1762375,936121,826254,943033,572010,371023,238364,751797,176056,1880,1676918,70351,1980,968,10409,250,481518,270279,53.50921341939144,113.29700068017826
232,Madhya Pradesh,Chhindwara,22.227966971713823,78.76413136439254,455,2090922,1064468,1026454,1294198,731294,562904,422668,957984,344875,3588,1923920,100692,4893,2258,7830,24471,582263,375721,61.89604394616346,103.70342947662536
233,Madhya Pradesh,Damoh,23.76624407960196,79.47049303482588,428,1264219,661873,602346,747715,445737,301978,250165,574595,187731,1432,1186420,47966,1681,1096,25005,119,367711,206884,59.1444203891889,109.8825259900456
234,Madhya Pradesh,Datia,25.90226439560441,78.63916571428574,422,786754,420157,366597,491445,303815,187630,93744,321160,97696,616,747693,28483,683,490,453,7923,225662,95498,62.46488737267304,114.61004863651367
235,Madhya Pradesh,Dewas,22.7851110021322,76.46088805970157,437,1563715,805359,758356,925369,550716,374653,310606,742676,270457,3518,1376591,174259,2355,2330,6497,382,451501,291175,59.17759949862986,106.1980125429218
236,Madhya Pradesh,Dhar,22.572681718963157,75.1105620736698,438,2185793,1112725,1073068,1077338,638479,438859,437437,1027974,349639,2388,2051219,116202,2261,1607,12199,328,597079,430895,49.28819883676084,103.69566513958108
237,Madhya Pradesh,Dindori,22.83738437047757,81.04332966714911,453,704524,351913,352611,378714,222759,155955,190962,389925,62372,554,605435,6736,4238,260,687,61,203383,186542,53.754591752729496,99.80204814937707
238,Madhya Pradesh,Guna,24.49043927178156,77.2235895968791,458,1241519,649362,592157,653980,400537,253443,175615,514897,144248,2482,1172248,49203,1208,3271,13474,529,335454,179443,52.67579473209834,109.66044478069162
239,Madhya Pradesh,Gwalior,26.04074441964285,78.12782433035713,421,2032036,1090327,941709,1357210,803114,554096,120348,685311,306859,15779,1835299,141735,4119,24790,18058,4361,548820,136491,66.79064740978998,115.78173299819797
240,Madhya Pradesh,Harda,22.227659781121783,77.07022571819435,448,570465,294838,275627,352550,203807,148743,101256,230979,95066,986,527462,38640,683,676,1573,93,156852,74127,61.80046102740746,106.96992674883086
241,Madhya Pradesh,Hoshangabad,22.595268801996703,78.02168094841929,449,1241350,648725,592625,810644,469199,341445,181967,478082,198076,2871,1175203,52269,4453,3127,3888,1550,345435,132647,65.3034196640754,109.46635730858469
242,Madhya Pradesh,Indore,22.680265752128648,75.9133801324502,439,3276697,1699627,1577070,2309130,1289631,1019499,185528,1268195,593576,48691,2728225,415142,18523,25696,71667,11496,939055,329140,70.47127030665331,107.77118327024165
243,Madhya Pradesh,Jabalpur,23.18525572327043,79.98328754716981,451,2463289,1277278,1186011,1756468,980307,776161,283636,1005624,452023,20443,2159065,203652,23142,13256,33728,4320,705970,299654,71.30580293258323,107.69529119038526
244,Madhya Pradesh,Jhabua,22.419578015397768,74.40921616766468,464,1025048,515023,510025,352081,214582,137499,115649,515121,125411,744,960925,15733,38423,141,8871,65,265489,249632,34.34775737331325,100.97995196313907
245,Madhya Pradesh,Katni,23.724416229116937,80.33819665871127,450,1292042,662013,630029,790773,460583,330190,223902,543874,172416,2179,1240650,37232,3158,1167,5342,157,348410,195464,61.20335097465872,105.076591712445
246,Madhya Pradesh,Mandla,22.70348712446353,80.38600543633753,454,1054905,525272,529633,604962,348033,256929,318909,559649,143803,912,849518,16558,12450,436,1789,297,300235,259414,57.347533664168814,99.17659964541484
247,Madhya Pradesh,Mandsaur,24.19278764044944,75.43588667736759,433,1340411,682851,657560,834591,502898,331693,266350,679723,239885,2324,1192588,125548,1120,849,19029,242,397714,282009,62.26381311403741,103.84618894093313
248,Madhya Pradesh,Morena,26.37313504531724,77.88447341389724,419,1965970,1068417,897553,1179685,747652,432033,148222,675993,131486,1781,1875495,76159,1092,557,6681,3234,525329,150664,60.00523914403577,119.03664741803549
249,Madhya Pradesh,Neemuch,24.70311893333336,75.06608186666664,432,826067,422653,403414,508834,307889,200945,136330,418682,145258,1945,741288,67324,1508,1110,14165,224,245708,172974,61.59718279510016,104.76904619076184
250,Madhya Pradesh,Panna,24.451325840092657,80.21133001158752,426,1016520,533480,483040,552559,332140,220419,198847,431998,76097,653,974748,35214,418,186,4734,37,275375,156623,54.35790737024357,110.44219940377609
251,Madhya Pradesh,Raisen,23.292518206521724,78.16305495923909,446,1331597,700358,631239,820220,479093,341127,228151,517838,194373,1141,1195235,120331,1725,2262,10637,253,370366,147472,61.59671432122481,110.94973536172512
252,Madhya Pradesh,Rajgarh,23.785499026425583,76.66431223922116,442,1545814,790212,755602,804245,488797,315448,330820,745603,231130,1611,1433879,106928,1243,460,1599,121,429768,315835,52.0272814193687,104.58045373093243
253,Madhya Pradesh,Ratlam,23.503562290502792,75.14895782122909,434,1455069,738241,716828,825880,485090,340790,305946,690980,213825,3644,1267043,151071,3996,1353,29353,175,411446,279534,56.75882037209232,102.98718800046873
254,Madhya Pradesh,Rewa,24.861184625158856,81.57572465057183,430,2365106,1225100,1140006,1441757,845572,596185,463506,991946,251132,3406,2268838,85414,1964,832,655,986,617184,374762,60.959508791572134,107.46434667887712
255,Madhya Pradesh,Sagar,23.800318709677374,78.71940357771273,427,2378458,1256257,1122201,1545719,908607,637112,378560,1006035,366494,4546,2198297,103480,5580,4146,62992,991,682077,323958,64.98828232409402,111.94581006432894
256,Madhya Pradesh,Satna,24.62777621776502,80.75547048710598,429,2228935,1157495,1071440,1371781,801051,570730,371584,911349,294702,3754,2158623,59471,2228,1163,3135,364,590487,320862,61.54423525136444,108.0317143283805
257,Madhya Pradesh,Sehore,22.9297199679658,77.06780202883085,445,1311332,683743,627589,780362,469208,311154,227026,586087,212138,1566,1163607,137980,1404,640,6232,357,364559,221528,59.509109821158944,108.94757556298788
258,Madhya Pradesh,Seoni,22.33230487804874,79.66053863928111,456,1379131,695879,683252,864194,485341,378853,376404,684434,228695,1182,1145052,79739,1857,360,4982,7288,394660,289774,62.66221265420037,101.84807362437284
259,Madhya Pradesh,Shahdol,23.44859864559819,81.4596831828442,460,1066063,540021,526042,604194,348761,255433,258991,493057,113184,1733,997073,42426,2372,912,1737,268,292402,200655,56.67526215617651,102.65739237551375
260,Madhya Pradesh,Shajapur,23.566620317220547,76.33555181268885,436,1512681,780520,732161,894612,543509,351103,303157,717871,232735,1382,1321003,174724,815,631,13755,179,431857,286014,59.14082347831433,106.60496803298729
261,Madhya Pradesh,Sheopur,25.78014810996563,77.16911116838484,418,687861,361784,326077,328025,208201,119824,115261,277455,74770,273,638702,41396,230,6387,379,201,183788,93667,47.687686901859536,110.95048102135385
262,Madhya Pradesh,Shivpuri,25.37802451874367,77.74861600810549,423,1726050,919795,806255,900846,573242,327604,220440,759281,148128,1852,1648749,51200,1117,7151,12171,3421,481001,278280,52.19118797253846,114.08239328748348
263,Madhya Pradesh,Sidhi,24.17547189952905,82.1053783359498,462,1127033,575912,551121,600785,353030,247755,262030,461760,102228,837,1077545,34419,511,128,93,92,284289,177471,53.306779836970165,104.49828622026742
264,Madhya Pradesh,Tikamgarh,25.14099852104666,78.89357064846428,424,1445166,760355,684811,747940,459353,288587,223852,655318,132725,1090,1383475,44143,588,251,15569,109,402776,252542,51.75460812114318,111.03136485833318
265,Madhya Pradesh,Ujjain,23.319288862745065,75.80383717647058,435,1986864,1016289,970575,1240990,730817,510173,302003,897442,323379,7501,1718204,233133,4659,3241,24622,945,569425,328017,62.45973554304673,104.7099914998841
266,Madhya Pradesh,Umaria,23.59601063063061,80.90879477477475,431,644758,330674,314084,356672,210907,145765,145690,289691,67975,839,620515,15966,667,190,220,70,175698,113993,55.318739744214106,105.28202646425797
267,Madhya Pradesh,Vidisha,23.82838307984792,77.9013507604563,443,1458875,769568,689307,862918,512344,350574,228308,550402,181510,1926,1287391,149548,1313,914,18490,295,401583,148819,59.1495501670808,111.64372333372503
268,Maharashtra,Akola,20.746310479041902,77.12122320359276,501,1813906,932334,881572,1411281,758977,652304,388521,768154,314490,6163,1107809,357253,4483,1504,10205,328033,520362,247792,77.80342531531403,105.75812298938713
269,Maharashtra,Amravati,21.16520991810736,77.67583503184723,503,2888445,1480768,1407677,2251875,1207104,1044771,667943,1236322,512492,9438,2055177,421410,7223,2242,11360,383891,837577,398745,77.96149831483721,105.19231329346151
270,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,235,2540073,1318684,1221389,1466002,868733,597269,426096,837770,44456,2362,2291133,237353,2218,295,775,334,599157,238613,57.71495543632014,107.96593059213731
271,Maharashtra,Aurangabad,20.0979228832952,75.32072196796334,515,3701282,1924469,1776813,2503837,1430936,1072901,396630,1575079,589477,23258,2545438,786677,15991,5142,30981,309093,1015864,559215,67.64783121091557,108.31015981985723
272,Maharashtra,Bhandara,21.211792649727748,80.10950199637024,506,1200334,605520,594814,899860,488709,411151,312183,597305,227025,2932,1009352,26502,2145,831,1017,154458,345054,252251,74.9674673882436,101.79989038590216
273,Maharashtra,Bid,18.952353340080982,75.69319706477731,523,2585049,1349106,1235943,1718507,987185,731322,373566,1255548,402052,5614,2174672,320395,2097,824,8719,68482,727819,527729,66.4787011774245,109.15600476721015
274,Maharashtra,Buldana,20.56680611183355,76.39017880364096,500,2586258,1337560,1248698,1879874,1048892,830982,603227,1219641,423036,4767,1845424,354236,3531,1668,12242,364229,734024,485617,72.68702503771858,107.11637241350591
275,Maharashtra,Chandrapur,20.095609090909075,79.31556380471388,509,2204307,1123834,1080473,1578615,872565,706050,473983,1058172,418666,8239,1780085,92297,10701,5251,3861,286734,648565,409607,71.61502458595831,104.01314979643175
